Score,Health,Relationship,Beauty,Living,Support,Output
0,Yes,Yes,Yes,Yes,Yes,Happy
0,Yes,Yes,Yes,Yes,Complicated,Happy
0,Yes,Yes,Yes,Yes,No,Somewhat Happy
0,Yes,Yes,Yes,Complicated,Yes,Happy
0,Yes,Yes,Yes,Complicated,Complicated,Somewhat Happy
0,Yes,Yes,Yes,Complicated,No,Somewhat Happy
0,Yes,Yes,Yes,No,Yes,Somewhat Happy
0,Yes,Yes,Yes,No,Complicated,Somewhat Happy
0,Yes,Yes,Yes,No,No,Not Too Happy
0,Yes,Yes,Complicated,Yes,Yes,Happy
0,Yes,Yes,Complicated,Yes,Complicated,Somewhat Happy
0,Yes,Yes,Complicated,Yes,No,Somewhat Happy
0,Yes,Yes,Complicated,Complicated,Yes,Somewhat Happy
0,Yes,Yes,Complicated,Complicated,Complicated,Somewhat Happy
0,Yes,Yes,Complicated,Complicated,No,Not Too Happy
0,Yes,Yes,Complicated,No,Yes,Somewhat Happy
0,Yes,Yes,Complicated,No,Complicated,Not Too Happy
0,Yes,Yes,Complicated,No,No,Not Happy
0,Yes,Yes,No,Yes,Yes,Somewhat Happy
0,Yes,Yes,No,Yes,Complicated,Somewhat Happy
0,Yes,Yes,No,Yes,No,Not Too Happy
0,Yes,Yes,No,Complicated,Yes,Somewhat Happy
0,Yes,Yes,No,Complicated,Complicated,Not Too Happy
0,Yes,Yes,No,Complicated,No,Not Happy
0,Yes,Yes,No,No,Yes,Not Too Happy
0,Yes,Yes,No,No,Complicated,Not Happy
0,Yes,Yes,No,No,No,Not Happy
0,Yes,Complicated,Yes,Yes,Yes,Happy
0,Yes,Complicated,Yes,Yes,Complicated,Somewhat Happy
0,Yes,Complicated,Yes,Yes,No,Somewhat Happy
0,Yes,Complicated,Yes,Complicated,Yes,Somewhat Happy
0,Yes,Complicated,Yes,Complicated,Complicated,Somewhat Happy
0,Yes,Complicated,Yes,Complicated,No,Not Too Happy
0,Yes,Complicated,Yes,No,Yes,Somewhat Happy
0,Yes,Complicated,Yes,No,Complicated,Not Too Happy
0,Yes,Complicated,Yes,No,No,Not Happy
0,Yes,Complicated,Complicated,Yes,Yes,Somewhat Happy
0,Yes,Complicated,Complicated,Yes,Complicated,Somewhat Happy
0,Yes,Complicated,Complicated,Yes,No,Not Too Happy
0,Yes,Complicated,Complicated,Complicated,Yes,Somewhat Happy
0,Yes,Complicated,Complicated,Complicated,Complicated,Not Too Happy
0,Yes,Complicated,Complicated,Complicated,No,Not Happy
0,Yes,Complicated,Complicated,No,Yes,Not Too Happy
0,Yes,Complicated,Complicated,No,Complicated,Not Happy
0,Yes,Complicated,Complicated,No,No,Not Happy
0,Yes,Complicated,No,Yes,Yes,Somewhat Happy
0,Yes,Complicated,No,Yes,Complicated,Not Too Happy
0,Yes,Complicated,No,Yes,No,Not Happy
0,Yes,Complicated,No,Complicated,Yes,Not Too Happy
0,Yes,Complicated,No,Complicated,Complicated,Not Happy
0,Yes,Complicated,No,Complicated,No,Not Happy
0,Yes,Complicated,No,No,Yes,Not Happy
0,Yes,Complicated,No,No,Complicated,Not Happy
0,Yes,Complicated,No,No,No,Not Happy
0,Yes,No,Complicated,Yes,Yes,Somewhat Happy
0,Yes,No,Complicated,Yes,Complicated,Not Too Happy
0,Yes,No,Complicated,Yes,No,Not Happy
0,Yes,No,Complicated,Complicated,Yes,Not Too Happy
0,Yes,No,Complicated,Complicated,Complicated,Not Happy
0,Yes,No,Complicated,Complicated,No,Not Happy
0,Yes,No,Complicated,No,Yes,Not Happy
0,Yes,No,Complicated,No,Complicated,Not Happy
0,Yes,No,Complicated,No,No,Not Happy
0,Yes,No,No,Yes,Yes,Not Too Happy
0,Yes,No,No,Yes,Complicated,Not Happy
0,Yes,No,No,Yes,No,Not Happy
0,Yes,No,No,Complicated,Yes,Not Happy
0,Yes,No,No,Complicated,Complicated,Not Happy
0,Yes,No,No,Complicated,No,Not Happy
0,Yes,No,No,No,Yes,Not Happy
0,Yes,No,No,No,Complicated,Not Happy
0,Yes,No,No,No,No,Not Happy
0,Complicated,Yes,Yes,Yes,Yes,Happy
0,Complicated,Yes,Yes,Yes,Complicated,Somewhat Happy
0,Complicated,Yes,Yes,Yes,No,Somewhat Happy
0,Complicated,Yes,Yes,Complicated,Yes,Somewhat Happy
0,Complicated,Yes,Yes,Complicated,Complicated,Somewhat Happy
0,Complicated,Yes,Yes,Complicated,No,Not Too Happy
0,Complicated,Yes,Yes,No,Yes,Somewhat Happy
0,Complicated,Yes,Yes,No,Complicated,Not Too Happy
0,Complicated,Yes,Yes,No,No,Not Happy
0,Complicated,Yes,Complicated,Yes,Yes,Somewhat Happy
0,Complicated,Yes,Complicated,Yes,Complicated,Somewhat Happy
0,Complicated,Yes,Complicated,Yes,No,Not Too Happy
0,Complicated,Yes,Complicated,Complicated,Yes,Somewhat Happy
0,Complicated,Yes,Complicated,Complicated,Complicated,Not Too Happy
0,Complicated,Yes,Complicated,Complicated,No,Not Happy
0,Complicated,Yes,Complicated,No,Yes,Not Too Happy
0,Complicated,Yes,Complicated,No,Complicated,Not Happy
0,Complicated,Yes,Complicated,No,No,Not Happy
0,Complicated,Yes,No,Yes,Yes,Somewhat Happy
0,Complicated,Yes,No,Yes,Complicated,Not Too Happy
0,Complicated,Yes,No,Yes,No,Not Happy
0,Complicated,Yes,No,Complicated,Yes,Not Too Happy
0,Complicated,Yes,No,Complicated,Complicated,Not Happy
0,Complicated,Yes,No,Complicated,No,Not Happy
0,Complicated,Yes,No,No,Yes,Not Happy
0,Complicated,Yes,No,No,Complicated,Not Happy
0,Complicated,Yes,No,No,No,Not Happy
0,Complicated,Complicated,Yes,Yes,Yes,Somewhat Happy
0,Complicated,Complicated,Yes,Yes,Complicated,Somewhat Happy
0,Complicated,Complicated,Yes,Yes,No,Not Too Happy
0,Complicated,Complicated,Yes,Complicated,Yes,Somewhat Happy
0,Complicated,Complicated,Yes,Complicated,Complicated,Not Too Happy
0,Complicated,Complicated,Yes,Complicated,No,Not Happy
0,Complicated,Complicated,Yes,No,Yes,Not Too Happy
0,Complicated,Complicated,Yes,No,Complicated,Not Happy
0,Complicated,Complicated,Yes,No,No,Not Happy
0,Complicated,Complicated,Complicated,Yes,Yes,Somewhat Happy
0,Complicated,Complicated,Complicated,Yes,Complicated,Not Too Happy
0,Complicated,Complicated,Complicated,Yes,No,Not Happy
0,Complicated,Complicated,Complicated,Complicated,Yes,Not Too Happy
0,Complicated,Complicated,Complicated,Complicated,Complicated,Not Happy
0,Complicated,Complicated,Complicated,Complicated,No,Not Happy
0,Complicated,Complicated,Complicated,No,Yes,Not Happy
0,Complicated,Complicated,Complicated,No,Complicated,Not Happy
0,Complicated,Complicated,Complicated,No,No,Not Happy
0,Complicated,Complicated,No,Yes,Yes,Not Too Happy
0,Complicated,Complicated,No,Yes,Complicated,Not Happy
0,Complicated,Complicated,No,Yes,No,Not Happy
0,Complicated,Complicated,No,Complicated,Yes,Not Happy
0,Complicated,Complicated,No,Complicated,Complicated,Not Happy
0,Complicated,Complicated,No,Complicated,No,Not Happy
0,Complicated,Complicated,No,No,Yes,Not Happy
0,Complicated,Complicated,No,No,Complicated,Not Happy
0,Complicated,Complicated,No,No,No,Not Happy
0,Complicated,No,Complicated,Yes,Yes,Not Too Happy
0,Complicated,No,Complicated,Yes,Complicated,Not Happy
0,Complicated,No,Complicated,Yes,No,Not Happy
0,Complicated,No,Complicated,Complicated,Yes,Not Happy
0,Complicated,No,Complicated,Complicated,Complicated,Not Happy
0,Complicated,No,Complicated,Complicated,No,Not Happy
0,Complicated,No,Complicated,No,Yes,Not Happy
0,Complicated,No,Complicated,No,Complicated,Not Happy
0,Complicated,No,Complicated,No,No,Not Happy
0,Complicated,No,No,Yes,Yes,Not Happy
0,Complicated,No,No,Yes,Complicated,Not Happy
0,Complicated,No,No,Yes,No,Not Happy
0,Complicated,No,No,Complicated,Yes,Not Happy
0,Complicated,No,No,Complicated,Complicated,Not Happy
0,Complicated,No,No,Complicated,No,Not Happy
0,Complicated,No,No,No,Yes,Not Happy
0,Complicated,No,No,No,Complicated,Not Happy
0,Complicated,No,No,No,No,Not Happy
0,No,Yes,Yes,Yes,Yes,Somewhat Happy
0,No,Yes,Yes,Yes,Complicated,Somewhat Happy
0,No,Yes,Yes,Yes,No,Not Too Happy
