country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population,gdp_usd
Finland,1,7.632,1.305,,0.874,0.681,0.202,0.393,1.592,Europe,5522.585,"$49,737.55 "
Norway,2,7.594,1.456,,0.861,0.686,0.286,0.34,1.582,Europe,5337.96,"$81,549.98 "
Denmark,3,7.555,1.351,,0.868,0.683,0.284,0.408,1.59,Europe,5752.131,"$60,897.23 "
Iceland,4,7.495,1.343,,0.914,0.677,0.353,0.138,1.644,Europe,336.712,"$74,515.47 "
Switzerland,5,7.487,1.42,,0.927,0.66,0.256,0.357,1.549,Europe,8525.614,"$83,161.90 "
Netherlands,6,7.441,1.361,,0.878,0.638,0.333,0.295,1.488,Europe,17059.56,"$53,228.27 "
Canada,7,7.328,1.33,,0.896,0.653,0.321,0.291,1.532,North America,37074.558,"$46,290.22 "
New Zealand,8,7.324,1.268,,0.876,0.669,0.365,0.389,1.601,Oceania,4743.131,"$41,204.71 "
Sweden,9,7.314,1.355,,0.913,0.659,0.285,0.383,1.501,Europe,9971.63,"$54,356.07 "
Australia,10,7.272,1.34,,0.91,0.647,0.361,0.302,1.573,Oceania,24898.153,"$56,420.20 "
United Kingdom,11,7.19,1.244,,0.888,0.464,0.262,0.082,1.433,Europe,67141.678,"$42,579.82 "
Austria,12,7.139,1.341,,0.891,0.617,0.242,0.224,1.504,Europe,8891.383,"$51,343.51 "
Costa Rica,13,7.072,1.01,,0.817,0.632,0.143,0.101,1.459,North America,4999.443,"$12,039.11 "
Ireland,14,6.977,1.448,,0.876,0.614,0.307,0.306,1.583,Europe,4818.694,"$78,334.87 "
Germany,15,6.965,1.34,,0.861,0.586,0.273,0.28,1.474,Europe,83124.413,"$47,662.49 "
Belgium,16,6.927,1.324,,0.894,0.583,0.188,0.24,1.483,Europe,11482.18,"$46,695.99 "
Luxembourg,17,6.91,1.576,,0.896,0.632,0.196,0.321,1.52,Europe,604.244,"$115,536.21 "
United States,18,6.886,1.398,,0.819,0.547,0.291,0.133,1.471,North America,327096.263,"$62,868.92 "
