happiness_rank,country,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr,continent,family,population,gdp_usd
1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,Europe,,5522.585,"$49,737.55 "
2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,Europe,,5337.96,"$81,549.98 "
3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,Europe,,5752.131,"$60,897.23 "
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,Europe,,336.712,"$74,515.47 "
5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,Europe,,8525.614,"$83,161.90 "
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,Europe,,17059.56,"$53,228.27 "
7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,North America,,37074.558,"$46,290.22 "
8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,Oceania,,4743.131,"$41,204.71 "
9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,Europe,,9971.63,"$54,356.07 "
10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,Oceania,,24898.153,"$56,420.20 "
11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,Europe,,67141.678,"$42,579.82 "
12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,Europe,,8891.383,"$51,343.51 "
13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,North America,,4999.443,"$12,039.11 "
14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,Europe,,4818.694,"$78,334.87 "
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,Europe,,83124.413,"$47,662.49 "
16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,Europe,,11482.18,"$46,695.99 "
17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,Europe,,604.244,"$115,536.21 "
18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,North America,,327096.263,"$62,868.92 "
19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,Asia,,8381.507,"$41,728.19 "
20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,,Asia,,9630.966,"$39,709.01 "
21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,Europe,,10665.679,"$23,112.59 "
22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,Europe,,439.255,"$30,608.50 "
23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,Europe,,64990.512,"$42,953.27 "
24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,North America,,126190.782,"$9,796.98 "
25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,South America,,18729.166,"$15,901.73 "
26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,Asia,,23726.46,"$25,007.75 "
27,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,North America,,4176.868,"$15,642.82 "
28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,South America,,209469.32,"$8,958.58 "
29,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,South America,,44361.15,"$11,658.22 "
30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,North America,,17247.855,"$4,545.09 "
31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,South America,,3449.29,"$17,014.13 "
32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,Asia,,2781.682,"$70,379.49 "
33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,Asia,,33702.757,"$23,538.94 "
34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,Asia,,5757.503,"$64,578.77 "
35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,Asia,,31528.033,"$11,072.39 "
36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,Europe,,46692.863,"$30,733.17 "
37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,South America,,49661.056,"$6,641.51 "
38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,North America,,1389.841,"$16,378.65 "
39,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,Europe,,5453.017,"$19,579.31 "
40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,North America,,6420.74,"$3,922.26 "
41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,North America,,6465.502,"$2,030.50 "
42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,Europe,,37921.585,"$15,425.68 "
43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,Asia,,1569.44,"$25,482.74 "
44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,Asia,,32476.232,"$1,550.04 "
45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,Asia,,4137.314,"$30,969.44 "
46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Asia,,69428.454,"$7,448.12 "
47,Italy,6,1.264,1.501,0.946,0.281,0.137,0.028,Europe,,60627.291,"$34,320.75 "
48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,South America,,17084.359,"$6,367.59 "
49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,North America,,383.071,"$4,862.05 "
50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,Europe,,2801.27,"$18,994.38 "
51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,Europe,,2077.836,"$26,145.65 "
52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,Europe,,19506.11,"$12,269.84 "
53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,Europe,,1928.461,"$18,032.62 "
54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,Asia,,127202.19,"$39,303.96 "
55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,Africa,,1267.184,"$11,228.11 "
56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,North America,,2934.853,"$5,406.37 "
57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,Asia,,25549.606,$0.00 
58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,Europe,,1189.262,$0.00 
59,Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Asia,,145734.034,"$11,289.44 "
60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Asia,,18319.616,"$9,401.21 "
61,Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Europe,,1189.265,"$28,341.05 "
62,Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,South America,,11353.14,"$3,565.50 "
63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,Europe,,1322.913,"$23,330.28 "
64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,South America,,6956.069,"$5,934.18 "
65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,South America,,31989.265,"$7,007.17 "
66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,Europe,,1617,"$4,432.56 "
67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0,Europe,,4051.95,"$3,190.83 "
68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,Asia,,5850.902,"$7,064.74 "
