country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population
Denmark,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,,Europe,5711.346
Switzerland,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,,Europe,8379.915
Iceland,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,,Europe,332.209
Norway,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,,Europe,5250.95
Finland,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,,Europe,5497.714
Canada,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,,North America,36382.942
Netherlands,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,,Europe,16981.285
New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,,Oceania,4659.265
Australia,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,,Oceania,24262.71
Sweden,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,,Europe,9836.003
Israel,11,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,,Asia,8108.984
Austria,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,,Europe,8747.306
United States,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,,North America,323015.992
Costa Rica,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,,North America,4899.336
Puerto Rico,15,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,,North America,3283.121
Germany,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,,Europe,82193.77
Brazil,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,,South America,206163.056
Belgium,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,,Europe,11354.407
Ireland,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,,Europe,4695.79
Luxembourg,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,,Europe,579.266
Mexico,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,,North America,123333.379
Singapore,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,,Asia,5653.625
United Kingdom,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,,Europe,66297.944
Chile,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,,South America,18209.072
Panama,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,,North America,4037.073
Argentina,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,,South America,43508.459
Czech Republic,27,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,,Europe,10618.868
United Arab Emirates,28,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,,Asia,9360.975
Uruguay,29,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,,South America,3424.139
Malta,30,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,,Europe,436.099
Colombia,31,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,,South America,48175.048
France,32,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,,Europe,64667.59
Thailand,33,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,,Asia,68971.313
Saudi Arabia,34,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,,Asia,32443.443
Taiwan,34,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,,Asia,23618.201
