country,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr
Finland,1,7.632,1.305,1.592,0.874,0.681,0.202,0.393
Norway,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34
Denmark,3,7.555,1.351,1.59,0.868,0.683,0.284,0.408
Iceland,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138
Switzerland,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357
Netherlands,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295
Canada,7,7.328,1.33,1.532,0.896,0.653,0.321,0.291
New Zealand,8,7.324,1.268,1.601,0.876,0.669,0.365,0.389
Sweden,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383
Australia,10,7.272,1.34,1.573,0.91,0.647,0.361,0.302
United Kingdom,11,7.19,1.244,1.433,0.888,0.464,0.262,0.082
Austria,12,7.139,1.341,1.504,0.891,0.617,0.242,0.224
Costa Rica,13,7.072,1.01,1.459,0.817,0.632,0.143,0.101
Ireland,14,6.977,1.448,1.583,0.876,0.614,0.307,0.306
Germany,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28
Belgium,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24
Luxembourg,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321
United States,18,6.886,1.398,1.471,0.819,0.547,0.291,0.133
Israel,19,6.814,1.301,1.559,0.883,0.533,0.354,0.272
United Arab Emirates,20,6.774,2.096,0.776,0.67,0.284,0.186,
Czech Republic,21,6.711,1.233,1.489,0.854,0.543,0.064,0.034
Malta,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142
France,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176
Mexico,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095
Chile,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061
Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078
Panama,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063
Brazil,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088
Argentina,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054
Guatemala,30,6.382,0.781,1.268,0.608,0.604,0.179,0.071
Uruguay,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155
Qatar,32,6.374,1.649,1.303,0.748,0.654,0.256,0.171
Saudi Arabia,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127
Singapore,34,6.343,1.529,1.451,1.008,0.631,0.261,0.457
Malaysia,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059
Spain,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074
Colombia,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039
Trinidad & Tobago,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019
Slovakia,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014
El Salvador,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082
Nicaragua,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128
Poland,42,6.123,1.176,1.448,0.781,0.546,0.108,0.064
Bahrain,43,6.105,1.338,1.366,0.698,0.594,0.243,0.123
Uzbekistan,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259
Kuwait,45,6.083,1.474,1.301,0.675,0.554,0.167,0.106
Thailand,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029
Italy,47,6,1.264,1.501,0.946,0.281,0.137,0.028
Ecuador,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12
Belize,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089
Lithuania,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006
Slovenia,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051
Romania,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001
Latvia,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066
Japan,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15
Mauritius,55,5.891,1.09,1.387,0.684,0.584,0.245,0.05
Jamaica,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031
South Korea,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051
Northern Cyprus,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154
Russia,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025
Kazakhstan,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121
Cyprus,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035
Bolivia,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054
Estonia,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174
Paraguay,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074
Peru,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034
Kosovo,66,5.662,0.855,1.23,0.578,0.448,0.274,0.023
Moldova,67,5.64,0.657,1.301,0.62,0.232,0.171,0
Turkmenistan,68,5.636,1.016,1.533,0.517,0.417,0.199,0.037
Hungary,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022
Libya,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148
Philippines,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105
Honduras,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074
Belarus,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154
Turkey,74,5.483,1.148,1.38,0.686,0.324,0.106,0.109
Pakistan,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113
Hong Kong,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291
Portugal,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017
