Score,Needs,Belonging,Fulfillment,Acomplishment,Safety,Outcome,,,
<5,Yes,Yes,,,Yes,Very Happy,,,
<5,Yes,Yes,,,Complicated,Not Happy,,,
<5,Yes,Yes,,,No,Not Happy,,,
<5,Yes,Complicated,,,Yes,Not Happy,,,
<5,Yes,Complicated,,,Complicated,Not Happy,,,
<5,Yes,Complicated,,,No,Not Happy,,,
<5,Yes,No,,,Yes,Not Happy,,,
<5,Yes,No,,,Complicated,Not Happy,,,
<5,Yes,No,,,No,Not Happy,,,
<5,Complicated,Yes,,,Yes,Happy,,,
<5,Complicated,Yes,,,Complicated,Not Happy,,,
<5,Complicated,Yes,,,No,Not Happy,,,
<5,Complicated,Complicated,,,Yes,Not Happy,,,
<5,Complicated,Complicated,,,Complicated,Not Happy,,,
<5,Complicated,Complicated,,,No,Not Happy,,,
<5,Complicated,No,,,Yes,Not Happy,,,
<5,Complicated,No,,,Complicated,Not Happy,,,
<5,Complicated,No,,,No,Not Happy,,,
<5,No,Yes,,,Yes,Not Too Happy,,,
<5,No,Yes,,,Complicated,Not Too Happy,,,
<5,No,Yes,,,No,Not Too Happy,,,
<5,No,Complicated,,,Yes,Not Happy,,,
<5,No,Complicated,,,Complicated,Not Happy,,,
<5,No,Complicated,,,No,Not Happy,,,
<5,No,No,,,Yes,Not Happy,,,
<5,No,No,,,Complicated,Not Happy,,,
<5,No,No,,,No,Not Happy,,,
>4,,Yes,Yes,Yes,,Very Happy,,,
>4,,Yes,Yes,Complicated,,Not Too Happy,,,
>4,,Yes,Yes,No,,Not Happy,,,
>4,,Yes,Complicated,Yes,,Not Too Happy,,,
>4,,Yes,Complicated,Complicated,,Not Happy,,,
>4,,Yes,Complicated,No,,Not Happy,,,
>4,,Yes,No,Yes,,Not Too Happy,,,
>4,,Yes,No,Complicated,,Not Happy,,,
>4,,Yes,No,No,,Not Happy,,,
>4,,Complicated,Yes,Yes,,Not Too Happy,,,
>4,,Complicated,Yes,Complicated,,Not Happy,,,
>4,,Complicated,Yes,No,,Not Happy,,,
>4,,Complicated,Complicated,Yes,,Not Too Happy,,,
>4,,Complicated,Complicated,Complicated,,Not Too Happy,,,
>4,,Complicated,Complicated,No,,Not Too Happy,,,
>4,,Complicated,No,Yes,,Happy,,,
>4,,Complicated,No,Complicated,,Not Too Happy,,,
>4,,Complicated,No,No,,Not Too Happy,,,
>4,,No,Yes,Yes,,Very Happy,,,
>4,,No,Yes,Complicated,,Not Too Happy,,,N
>4,,No,Yes,No,,Not Too Happy,,,
>4,,No,Complicated,Yes,,Not Too Happy,,,
>4,,No,Complicated,Complicated,,Not Too Happy,,,
>4,,No,Complicated,No,,Not Too Happy,,,
>4,,No,No,Yes,,Not Too Happy,,,
>4,,No,No,Complicated,,Not Too Happy,,,
>4,,No,No,No,,Not Too Happy,,,
